问题,选项1,选项2,选项3,选项4,答案
以下哪句话中“上路”的意思(或用法)与其他句子不同。,明天我们就上路。,只要你点头我们马上动身上路。,午时三刻时辰已到，送强盗们上路。,你准备一下，我们就要出发上路了。,C
以下哪句话中“作呕”的意思(或用法)与其他句子不同。,太难吃了，他作呕了。,我的眼儿流泪，我的心儿作呕。,太恶心了，想作呕。,什么味道，好想作呕。,B
以下哪句话中“烘托”的意思(或用法)与其他句子不同。,烘托是国画的一种画法。,侧面烘托，换个角度说也就是虚写。,这篇小说用环境描写烘托悲壮的场面。,这一段描写烘托出主人公内心充满野心和欲望的复杂心情。,A
以下哪句话中“过节”的意思(或用法)与其他句子不同。,旧社会，老百姓每到过节之时，都忙里偷闲，苦中作乐。,爸爸公司的待遇很好，逢年过节都会发放礼品。,爸爸平常不喝酒，只在过年过节时才喝一点。,慢者过节，急者流荡。,D
以下哪句话中“摇手”的意思(或用法)与其他句子不同。,我用摇手将自行车的轮子转动起来，开始了愉快的骑行之旅。,我试图劝说他改变主意，但他只是用摇手表达他的坚定立场。,当我提出反对意见时，他用摇手示意我停止说话。,在会议上，他用摇手表示不同意我的提议。,A
以下哪句话中“驱使”的意思(或用法)与其他句子不同。,被仇恨所驱使。,被好奇心所驱使。,私欲无情地驱使着他。,不堪驱使。,D
以下哪句话中“透析”的意思(或用法)与其他句子不同。,肌酐清除率小于5ml/min者，不能使用本品，除非病人在48小时内进行血液透析。,将失败的例子透析给读者，知其然，亦究其所以然，使读者避开梦想中的陷阱，更加接近成功。,血液透析可去除30～40%的他唑巴坦/哌拉西林，另外5%的他唑巴坦以代谢物被透析去除。,本品使用过量在机体组织中的浓度与毒理的关系不详。血液透析或腹膜透析可清除本品。,B
以下哪句话中“栽培”的意思(或用法)与其他句子不同。,栽培水稻。,栽培蔬菜。,栽培果树。,感谢老师的栽培。,D
以下哪句话中“强项”的意思(或用法)与其他句子不同。,他的强项不过就是平白老套的基础工作，情报交易，勤勉努力以及对敌人的洞若观火。,短跑是小明的强项，学校运动会是他大显身手的时候。,千万不要有侥幸心理，认为自己的强项一定能弥补弱项，高考什么都能发生，有弱项会使你未战先败！,一语道尽爱情的残忍。情到深处人孤。疾苦使人成熟，强项的人会感悟爱的真谛，而懦弱的人徒生怅恨。,D
以下哪句话中“指南针”的意思(或用法)与其他句子不同。,去野外没有指南针容易迷路。,去野外需要备一个指南针。,心里要有一个生活的指南针。,哪里可以买到指南针。,C
以下哪句话中“拐弯抹角”的意思(或用法)与其他句子不同。,我不习惯听人说话拐弯抹角，您就开门见山说明来意吧！,他说话老是拐弯抹角。,表哥平时说话直言不讳，从不拐弯抹角。,这条路弯来弯去拐弯抹角的，太难走了。,D
以下哪句话中“规格”的意思(或用法)与其他句子不同。,商品的规格与说明书上介绍的不太一致。,如果产品不符合规格，就不能出厂。,接待来宾的规格很高。,当初我说过要一等品。所以合同里将质量、规格和价钱都写的很明确。你还记得吗？,C
以下哪句话中“敲黑板”的意思(或用法)与其他句子不同。,对于这个商品，博主疯狂对我们敲黑板。,老师一边写字，一边敲黑板。,老师故意用粉笔敲敲黑板，以引起大家的注意。,老师敲了敲黑板以引起我们的注意。,A
以下哪句话中“推翻”的意思(或用法)与其他句子不同。,推翻原有结论。,推翻强加给他的污蔑不实之词。,推翻反动统治。,推翻他的说辞。,C
以下哪句话中“合力”的意思(或用法)与其他句子不同。,只要教师和家长协调一致，才能形成教育的合力。,引力和离心力的合力称为重力。,团结就是力量，团结就会形成合力、产生凝聚力。,卓越源于责任，责任涵盖管理，重复产生合力。,B
以下哪句话中“荒漠”的意思(或用法)与其他句子不同。,那种令人迷惑的荒漠气氛意味深长地笼罩着这群岛屿,如果不珍惜水资源，地球就会变成一片荒漠。,美丽的草原遭到了风沙的蚕食，正在逐渐变成荒漠。,曾几何时这里还是丰茂的草原，现在却变成了荒漠。,A
以下哪句话中“破防”的意思(或用法)与其他句子不同。,她说的话让我破防,他超级容易破防，十分脆弱,在别人咄咄逼人的攻势下，她破防了,敌方士兵成功破防，闯入了我方阵地。,D
以下哪句话中“和气”的意思(或用法)与其他句子不同。,孔窍虚，则和气日入。,他对任何人都是一团和气。,为人要和气，不要轻易和别人发生口角。,她待人和气，脸上总是带着微笑。,A
以下哪句话中“好几”的意思(或用法)与其他句子不同。,这个案子，涉及到好几个高级干部。,李奶奶热心于慈善事业，收养了好几个孤儿。,他已经三十好几了。,妈妈真能耐，一个人管好几台织布机。,C
以下哪句话中“专诚”的意思(或用法)与其他句子不同。,他对爱情那样专诚。,我是专诚来道谢的。,我是专诚来跟你说声抱歉的。,专诚拜访。,A
以下哪句话中“主攻”的意思(或用法)与其他句子不同。,指战员纷纷请战，要求担负主攻任务。,他选了梵文做他的学习主攻方向。,主攻丑角。,主攻力学。,A
以下哪句话中“乖乖”的意思(或用法)与其他句子不同。,乖乖是妈妈对女儿的爱称。,敌人被我军包围后，乖乖地投降了。,在警察叔叔的包围下，这两个歹徒只能乖乖地束手就擒。,在事实面前，这两个骗子只好乖乖认账了。,A
以下哪句话中“滋润”的意思(或用法)与其他句子不同。,小日子过的还挺滋润。,皮肤滋润。,雨露滋润禾苗。,空气滋润。,A
以下哪句话中“散座”的意思(或用法)与其他句子不同。,我们去散座那里坐吧。,请您到散座就座。,祥子心想：有了自己的车，再去拉包月或散座就没大关系了，反正车是自己的。,他趁没人跑到了散座中。,C
以下哪句话中“走时”的意思(或用法)与其他句子不同。,我们走时正好碰上了雨停了，真是走运的时刻。,当我看到钟表指针缓缓地走时，我意识到时间已经过去了一小时。,在等待的过程中，每一秒钟钟表指针的走时都让我感到无比漫长。,我喜欢静静地坐在沙发上，看着钟表指针不断地走时。,A
以下哪句话中“含金量”的意思(或用法)与其他句子不同。,这让人不禁为这类文凭的“含金量”捏一把冷汗，也难怪有人干脆将一些在职文凭称为“假的真文凭”。,现代人的健康生活含金量高。,现在的粽子啊，它含金量高，吃一个顶过去五个，方便！,据业内人士介绍，足金的含金量纯度千分数不低于九百九十，千足金的含金量纯度千分数不低于九百九十九。,D
以下哪句话中“光大”的意思(或用法)与其他句子不同。,勤劳、勇敢、智慧，这些民族的美德，我们要永远发扬光大。,光大的东西总是让人惊叹。,我们要把雷锋助人为乐的精神发扬光大。,前面谈了那么多，一言以蔽之，就是要继续发扬光大。,B
以下哪句话中“声色”的意思(或用法)与其他句子不同。,别人一直试探他，他却不动声色,在这载歌载舞中，他不近声色,大家先不动声色，以免大吵景色,他不动声色的走出房间,B
以下哪句话中“攻击”的意思(或用法)与其他句子不同。,他常对小明进行人身攻击。,拂晓前，我军向敌人阵地发起攻击。,敌军在我们的猛烈攻击下土崩瓦解了。,恐怖分子的炸弹攻击，不知使多少无辜民众肝脑涂地。,A
以下哪句话中“苟且”的意思(或用法)与其他句子不同。,革命烈士们宁愿英勇牺牲也绝不苟且偷生。,我们不能苟且偷安，一定要自强不息，才能创出一番事。,他做翻译，一字一句都不敢苟且。,年青人不应苟且偷安。,C
以下哪句话中“板”的意思(或用法)与其他句子不同。,拍板常与板鼓合用，由鼓手兼操。,在闽南文化南音中，拍板是一种重要的乐器。,拍板是一种打击乐器,这是一片木板。,D
以下哪句话中“中学”的意思(或用法)与其他句子不同。,中学教育在塑造青少年的品德、知识和技能方面起着重要的作用。,曾纪泽、张自牧、郑观应、陈炽、薛福成等大抵讲“中学为体，西学为用”的人，无不持“西学中源”说。,中学是为了培养青少年的综合素质而设立的教育机构。,我们的学校是一所提供中学教育的优秀学校，致力于为学生提供高质量的教育和培养。,B
以下哪句话中“黑暗”的意思(或用法)与其他句子不同。,电灯给黑暗的屋子带来了光亮。,黑暗即将过去，曙光就在前头。,太阳落下去了，树林里一片黑暗。,在黑暗的旧社会，劳动人民过着痛苦的生活。,D
以下哪句话中“宽大”的意思(或用法)与其他句子不同。,你犯了罪就要彻底交代，争取宽大处理。,这是一件宽大的睡袍。,他决心老老实实交代自己所犯的罪行，改邪归正，争取得到政府的宽大处理。,公安人员劝他打消顾虑，揭发同伙，争取宽大处理。,B
以下哪句话中“脱落”的意思(或用法)与其他句子不同。,门上的油漆已经脱落了。,毛发脱落。,牙齿脱落。,文字脱落。,D
以下哪句话中“插花”的意思(或用法)与其他句子不同。,我喜欢用插花的技巧将各种美丽的花朵巧妙地搭配在一起，插进花瓶中供观赏。,干部也插花编在各组内。,通过插花的技巧，我将各种色彩鲜艳的花朵有序地插进花瓶，创造出一个令人愉悦的观赏花束。,插花艺术可以通过将不同种类的花朵巧妙地搭配在一起，使花瓶更加美丽和吸引人。,B
以下哪句话中“万般”的意思(或用法)与其他句子不同。,元宵节这一天，河上有万般的花灯。,经过这次亲人的离世，我万般痛苦。,我感到万般快慰,当我观看这部纪录片，我感到世界万般神奇。,A
以下哪句话中“由来”的意思(或用法)与其他句子不同。,这个事件的由来是什么。,查清这件事的由来。,由来已久。,查清这次火警的由来。,C
以下哪句话中“周章”的意思(或用法)与其他句子不同。,他大费周章的将她救出来。,大费周章。,金化为水，水性周章。,煞费周章。,C
以下哪句话中“归真”的意思(或用法)与其他句子不同。,简单生活引领时尚，回归自然返璞归真。,莹然摩尼，归真於土。,人生最低的境界是平凡，其次是超凡脱俗，最高是返璞归真的平凡。,她脱下舞裙，归真返璞，相夫教子，得到了家人谅解。,B
以下哪句话中“拐弯”的意思(或用法)与其他句子不同。,我是一个直性子的人，说话从不拐弯抹角、旁敲侧击。,这条山路拐弯抹角的，难走极了。,这种每次都拐弯抹角、指桑骂槐的邻居，谁受得了？,有什么话你就直说，不必拐弯抹角。,B
以下哪句话中“倒运”的意思(或用法)与其他句子不同。,余家兄弟两个越发呆串了皮了，做出这样倒运的事。,她是个倒运鬼，我每次碰见她都要输钱的。,他们一伙最近又靠倒运木料赚了一大笔钱。,谁也不想发作这些倒运透顶的事。,C
以下哪句话中“中堂”的意思(或用法)与其他句子不同。,我们都在中堂坐着。,中堂高高挂在墙上。,我们一会儿在中堂吃饭。,中堂在哪里。,B
以下哪句话中“过时”的意思(或用法)与其他句子不同。,你再不来，过时不候。,这种款式已经过时了。,他戴着一顶过时的毡帽。,学校宣布废除一些过时的规章制度。,A
以下哪句话中“挽”的意思(或用法)与其他句子不同。,转粟挽输以为之备。,一个很小的偏差，就有可能造成无法挽回的损失。,小兵刚上场就进了一球，挽回了我们班被动的局面。,在比赛的危急时刻，小兵力挽狂澜，取得了最终胜利。,A
以下哪句话中“生猛”的意思(或用法)与其他句子不同。,一只半尺长的蟑螂长得很是生猛,马的矫健生猛，灵活雄骏，如江湖好汉,那时还不时兴生猛海鲜地海吃海喝，,今天看到一个神魔弃子居然如此生猛，,C
以下哪句话中“榨取”的意思(或用法)与其他句子不同。,榨取民财。,他榨取他的佃户。,榨取人力。,榨取汁液,D
以下哪句话中“推展”的意思(或用法)与其他句子不同。,商场举办羊绒精品推展活动。,由此可见，蒋经国推展本土化政策，只是台人治台策略的运用，而李登辉则将本土化作为一种战略。,在他执政后所推展的本土化政策与蒋经国存有明显的差异。,李登辉推展本土化的结果是使台湾政坛政出多门，一片混乱，“台独”势力猖獗。,A
以下哪句话中“珠玑”的意思(或用法)与其他句子不同。,出嫁那天，她的脖子上挂满了珠玑,他常常口吐珠玑，有不凡之论。,满腹珠玑。,万字珠玑。,A
以下哪句话中“确信”的意思(或用法)与其他句子不同。,我确信我的答案是正确的。,我确信我们是对的。,不管事成与否，请给我一个确信。,我们确信这一崇高理想一定能实现,C
以下哪句话中“上上”的意思(或用法)与其他句子不同。,说到房子的优劣，何谓优，何谓劣？没人搅扰就是上上。,我希望求得一个上上签。,上上星期你说过要陪我出去看电影的。,只有这样才是上上策。,C
以下哪句话中“苍黄”的意思(或用法)与其他句子不同。,郎中看他面色苍黄摇了摇头,多年的劳作造就了他苍黄的皮肤,母亲神色苍黄地跑向车祸中的儿子。,那片苍黄的沙漠就是他的故乡,C
以下哪句话中“优柔”的意思(或用法)与其他句子不同。,它是一个优柔的人，遇到什么问题都想很多,他做事总是很优柔，总会让人很急,优柔的性格不利于办大事,优柔温润,D
以下哪句话中“月例”的意思(或用法)与其他句子不同。,今天该发月例了。,女生每个月都会来一次月例。,月例银子。,今年月例是多少。,B
以下哪句话中“农家”的意思(或用法)与其他句子不同。,她从小在农家长大，对农田和农作物非常熟悉，对农业有着深厚的理解。,先秦时期反映农业生产和农民思想的学术派别称为农家。,这个地方是一个典型的农家村庄，居民以务农为生，过着简朴而安宁的生活,农家的饭菜总是新鲜又美味，因为他们使用的是自家种植的有机食材。,B
以下哪句话中“名优”的意思(或用法)与其他句子不同。,这部电影中的主角是一位影视界的名优，凭借出色的演技赢得了观众的赞赏,这个舞蹈团队拥有一批优秀的舞蹈演员，他们被誉为舞蹈界的名优。,这个音乐学院培养出了很多音乐界的名优，他们在国际舞台上展现出卓越的才华。,这是青岛名优产品。,D
以下哪句话中“化装”的意思(或用法)与其他句子不同。,杨子荣化装成土匪侦察敌情。,还有些同志化装成难民、商人、小贩，跑到上海南京去，收买破机器。,舞台后面，演员们正在化装准备上场。,为了侦察敌情，他化装成商人进城去了,C
以下哪句话中“杂烩”的意思(或用法)与其他句子不同。,我喜欢吃大杂烩。,杂烩味道如何？,有谁会做大杂烩吗？,杂烩混杂的收集物。,D
以下哪句话中“嘴刁”的意思(或用法)与其他句子不同。,我嘴刁，我想吃我喜欢的。,他嘴刁，太难伺候了。,这小鬼嘴刁，差点儿被骗了。,他从小就嘴刁，什么都不吃。,C
以下哪句话中“点子”的意思(或用法)与其他句子不同。,我们需要一些新的点子来创新我们的产品,在头脑风暴会议中，大家纷纷贡献自己的点子。,我的衣服上溅上了几滴油点子,他总是能够迅速提出独特的点子解决问题,C
以下哪句话中“相机”的意思(或用法)与其他句子不同。,同时，军区大院南门外的胜利路两端也各放了一个连，准备相机行事。,可是我等了你两天你也没出来，我刚把相机放回去你就出来了！,照相要取好景物的范围，选好照相的位置及照相机的光圈和拍摄的速度等。,目前使用扫描仪、数码摄像机和数码照相机作为图片和影像输入的也越来越多。,A
以下哪句话中“划分”的意思(或用法)与其他句子不同。,在划分文章段落层次时，我对承上启下的语句的位置总是划不到位。,划分人民内部矛盾和敌我矛盾。,双方激烈地辩论着如何划分词类范围的问题。,老师给各个小组都划分好了卫生区,B
以下哪句话中“红领巾”的意思(或用法)与其他句子不同。,鲜艳的红领巾在少先队员的胸前飘动着。,红领巾代表着少年先锋队员。,回想我刚戴上红领巾的时候，多么自豪！,升国旗的时候，少先队员要佩带红领巾。,B
以下哪句话中“贯通”的意思(或用法)与其他句子不同。,一篇好的文章应该前后贯通，条理分明。,洞中泉流跟冰壶、双龙上下相贯通。,他把学习和实践融会贯通了。,在学习中要学会融会贯通，不要只是生吞活剥一些知识。,B
