问题,选项1,选项2,选项3,选项4,答案
以下哪个句子使用了排比修辞手法？,天空像一幅水墨画，云朵如墨线轻细勾勒，大自然化身为一位巧妙的画家。,在守初心中铸就忠诚，在担使命中展现本色，在抓落实中创造实绩。,时间好象一把尺子，它能衡量奋斗者前进的进程。,一排排柳树倒映在水中，欣赏着自己的容貌。,B
以下哪个句子使用了反问修辞手法？,太阳离我们有多远呢？,你见过小米的妹妹吗？,为什么冬天会下雪呢？,难道梅花的精神不象征着中华民族的精神吗？,D
以下哪个句子使用了拟人修辞手法？,在“学”上下真功，在“做”上动真格，在“改”上出实招，在“促”上求实效。,在大事大非问题上不糊涂，做明白人，在体制转换关口上不迷茫，干明白事，在作风形象考验上不丢分，交明白账。,时间艰涩地流着，像沙漏坠入我忐忑不安的心房。,秋便以翩跹之姿踏碎了夏天的流言。,D
以下哪个句子使用了拟人修辞手法？,政治信仰不变，政治立场不移，政治方向不偏。,这片风景像一幅美丽的画卷，展现出大自然的神奇和壮丽。,这个问题像一个蜘蛛网一样纷繁复杂，让人难以梳理。,一片片枯叶好似仙女下凡，飘然而至。,D
以下哪个句子使用了比喻修辞手法？,柳树那婀娜的舞姿，是那么美，那么自然。,那只笔像是一把魔杖，让我能够创造出无限的奇迹。,朋友是快乐日子里的一把吉它，尽情地为你弹奏生活的愉悦，朋友是忧伤日子里的一股春风，轻轻地为你拂去心中的愁云，朋友是成功道路上的一位良师，热情的将你引向阳光的地带。,全体党员动起来，党员身份亮出来，优秀党员香起来。,B
以下哪个句子使用了拟人修辞手法？,火红的枫叶好像火花一样纷繁地飘落上来。,我也憧憬另一种生活状态，叫做——拼搏，拼搏就像暴风雨中的海燕，任雷鸣电闪。我也憧憬另一种生活状态，叫做——紧张，紧张就像夜色里赶路的人，任月出月落。我也憧憬另一种生活状态，叫做——奋进，奋进就像海上行驶的帆船，任浪打风吹。,迎着和煦的春风，青蛙打了个哈欠，伸了个懒腰，走出家门。,您的笑容是世界上最和煦的春风，您的眼泪是世界上最名贵的珍珠，您的皱纹是辛苦岁月霜雪雨的刻痕，您的画像是勇敢和坚韧的象征，您的关怀，让我们感受到长辈的慈爱，您的鼓励，让我们扬起了奋斗的风帆，您的渊博，让我们沐浴了知识的阳光，您的奉献，让我领略了师德的风范。,C
以下哪个句子使用了排比修辞手法？,秋天迈着沉稳的脚步款款地向我们走来，又悄无声息地走开。,杭州的西湖难道不像一颗光彩夺目的明珠？,两袖清风是廉者的幸福，惩恶锄奸是侠士的幸福，品学兼优是学生的幸福。,那把椅子像是一个忠实的伙伴，陪伴着我度过了许多时光。,C
以下哪个句子使用了排比修辞手法？,诚信就是一幅山水画，洗去铅华雕饰，留下清新自然。,如果没有你，嫦娥奔月就仍是一个神话，如果没有你，人类就仍在原始社会徘徊，如果没有你，那锋利的刀箭也就只是一支废铁。,叮咚，叮咚，欢快的泉水弹着琴跑下山去，一路上欢歌笑语，好不热闹。,黄昏悄悄的走来，黑暗慢慢的笼罩了村庄。,B
以下哪个句子使用了反问修辞手法？,你明天去小丽家玩吗？,你妹妹今年多大了？,为什么冬天会下雪呢？,要奋斗就会有牺牲，这难道不是真理吗？,D
以下哪个句子使用了排比修辞手法？,靖蜓望着波波河水，迫不及待的落在河里照起了镜子。,自私是一面镜子，镜子里永远只看得到自己。,她的声音像清澈的泉水，流淌出美妙动人的旋律，让人感到舒适和愉悦。,那飞泻下来的银链，在阳光下闪烁，使银链更明亮。而银链的宏伟，大于任何一个饰物，而银链的庞大，又大于任何一个无形的气墙。,D
以下哪个句子使用了比喻修辞手法？,我们赞美大海的浩瀚，是否会想到江河奔流中的坎坷与执着？我们赞美高山的雄伟，是否会想到土石积淀中的漫长与沉默？我们赞美景色的秀美，是否会想到万物生长中的艰辛与蓬勃？,海棠果摇动着它那圆圆的小脸，冲着你点头微笑。,幸福是“零落成泥碾作尘，只有香如故”的圣洁。幸福是“壮志饥餐胡虏肉，笑谈渴饮匈奴血”的豪壮。幸福是“先天下之忧而忧，后天下之乐而乐”的胸怀。幸福是“人生自古谁无死，留取丹心照汗青”的气节。,雪花像金莹的小精灵一样，飘飘扬扬的从天空落下来。,D
以下哪个句子使用了比喻修辞手法？,小柳树在微风里得意的跳起舞来。,我们感恩生活给了我们色彩，我们感恩社会给了我们舞台，我们感恩所有帮助我们的人，是他们让我们懂得了社会的温暖，人间的真情。,雨后清晨，大地如同一幅巨大的水墨画，静静散发着雨水的芬芳。,那飞泻下来的银链，在阳光下闪烁，使银链更明亮。而银链的宏伟，大于任何一个饰物，而银链的庞大，又大于任何一个无形的气墙。,C
以下哪个句子使用了排比修辞手法？,我和妹妹一起跑入雨中，欢呼春雨姑娘的到来。,雨，滴在柳树上，柳树抽出了翠绿欲滴的新枝，雨，滴在花苞上，花苞绽放出最美丽的花瓣，雨，滴在泥土上，泥土里长出了一碧千里的草。,火红的枫叶好像火花一样纷繁地飘落上来，纷纷扬扬的在空中旋转，好似燃起了一团团火焰。,春天是个害羞的小姑娘，遮遮掩掩，躲躲藏藏。,B
以下哪个句子使用了排比修辞手法？,你看那远处的山，难道不像是在守卫我们的村庄吗？,夜空中的小星星眨着眼睛，似乎在对你微笑。,抓好学习的针对性，加强学习的条理性，抓实学习的系统性。,天上的云彩，像五彩缤纷的棉花糖，颜色各异，好看极了。,C
以下哪个句子使用了拟人修辞手法？,夏季这个顽劣的小孩子，将大地烤的如一个热气腾腾的大蒸笼，娇弱的荷花低下了头，大黄狗‘吭哧吭哧’地喘着粗气，夏天得意地笑了,友谊是火，在寒风中给你温暖。,感恩，让我懂得“天下父母之心尤为贵”，感恩，让我懂得“承膝于祖辈的乐趣”，感恩，让我领略到阳光的妩媚，感恩让我明的什么是披肝沥胆，风雨同舟，,漫山遍野的树，像绵延不绝的绿色画卷，像鳞次栉比的天然屏障，像严阵以待的戍边将士。,A
以下哪个句子使用了排比修辞手法？,桃花开得热烈，红得美艳，宛如姑娘白里透红的脸颊,学出信念坚定之魂，学出奉公为民之志，学出党性操守之律，学出奋发向上之行。,女人坐在小院子当中，手指上缠绞着柔滑修长的苇眉子，苇眉子又薄又细，在她怀里跳跃着。,这座古城就像是一本沉静的历史书，街道是它的文字，建筑是它的章节，每一处景物都是一页历史的翻阅。,B
以下哪个句子使用了比喻修辞手法？,失败像一块坚硬的石头，可以磨练我们的意志和毅力。,有些课目训了，不代表训精了，有些内容练了，不代表练实了，有的训练时间够了，不代表训强了。,改革政策坚决贯彻，改革纪律坚决执行，改革规矩坚决遵守，改革举措坚决落实。,花儿在阳光下微笑，像是向世界展示着它们的美丽和活力。,A
以下哪个句子使用了拟人修辞手法？,追求是一颗恒心，果敢刚毅，追求是一颗决心，执着坚定，追求是一种勇气，破浪航行，追求是一中胆气，昂首奋进。,感知初心、坚守初心、践行初心，认清使命、扛起使命、不辱使命。,水是野的，一会儿缠绕着山奔跑，一会儿撅着屁股，赌着气又自个儿闹去了。,晨曦微露，初升的太阳如同一张红色的锦绣织物，轻轻展开，将黎明的美丽娓娓道来。,C
以下哪个句子使用了反问修辞手法？,这么重的东西，我怎么拎得动呢？,他摸出的是什么？,你喜欢文学，还是喜欢历史？,你喜欢什么颜色？,A
以下哪个句子使用了反问修辞手法？,你会打篮球吗？,那是你做的手工品吗？,不学习怎会有知识？,你和爷爷奶奶住在一起吗？,C
以下哪个句子使用了排比修辞手法？,她脸上洋溢着兴奋的光芒，就像山坡上绽开的山丹丹花一样。,梦想像一只飞翔的鸟儿，需要我们展开翅膀去追逐和探索。,雪花儿漫天飘动，就像天上的仙女不小心把自个的珍珠项链弄断了，珍珠纷繁掉落于人世。,书籍好比一架梯子，它能引导我们登上知识的殿堂。书籍如同一把钥匙，它能帮助我们开启心灵的智慧之窗。,D
以下哪个句子使用了排比修辞手法？,河水缓缓流淌，如同一条清澈的琉璃带，镶嵌在青山的怀抱中，给人一种恍若隔世的宁静与祥和。,这个作品像一幅精美的画卷，展现出作者的心灵和才华。,有些课程训了，不代表训精了，有些内容练了，不代表练实了，有的训练时间够了，不代表训强了。,我沐浴在大自然的怀抱中，让柔和的晚风轻抚着鬓角，吹去一切郁闷和烦恼。,C
以下哪个句子使用了拟人修辞手法？,只有学会倾听，你才会懂得尊重他人，只有学会倾听，你才会得到更多的哲理及经典语言，只有学会倾听，你才能有一颗积极向上的心，只有学会倾听，你才能觉得任何一种声音都让人有无限遐想。,孤山东边的白堤和西南的苏堤，就像两条绿色的绸带，轻柔地飘浮在碧水之上。,静物是凝固的美，动景是流动的美，直线是流畅的美，曲线是婉转的美。,风停了，雨住了，累了一天的鸟儿们要睡觉了。,D
以下哪个句子使用了反问修辞手法？,那个小孩为什么哭得撕心裂肺的呢？,小红看着小明手里捧着一束花，忍不住问了一句：“你好把这束花送给谁？”,理想到底是什么？理想就像一盏灯，在黑暗的地方指引我们前行。,世界为什么就不能回归真实呢？,D
以下哪个句子使用了反问修辞手法？,我们何时才能再见面？,夏天我们人类在空调房避暑，动物们是怎样避暑的？,东西放在哪儿呀？,你穿这么厚，难道不热吗？,D
以下哪个句子使用了比喻修辞手法？,认识上一致，思想上统一，政治上同心，情感上认同，行动上同步。,风儿清唱着歌，唤醒了沉睡中的大地。,这难道不是一项伟大的工程吗？,天空中出现了一道彩虹，宛如一座彩桥悬在上空。,D
以下哪个句子使用了拟人修辞手法？,他像一只鹰一样锐利地盯着目标。,在提高认识以上率下上下真功，在求真求实立行立改上见真效，在创新驱动提质增效上求突破。,友谊像春风，徐徐吹来，友谊像炭火，雪中送来，友谊像雨水，旱中下来。,波浪一边歌唱，一边冲向高空去迎接那雷声。,D
以下哪个句子使用了排比修辞手法？,荷叶上有几颗像钻石那么闪亮的小露珠。,时间好像尺子，它能衡量前进的进程，时间如同秤，它能称量成果的重量，时间就像皮鞭，它能鞭策我们追赶目标。,小树摆动着枝叶，摇晃着身躯，向我们点头笑,秋天迈着沉稳的脚步款款地向我们走来，又悄无声息地走开。,B
以下哪个句子使用了反问修辞手法？,是什么力量驱使成千上万不同职业的人赶到天安门广场参加开国大典？,是谁来呼风唤雨呢？,这里面装的难道不是一粒种子吗？,小明的家离学校近吗？,C
以下哪个句子使用了反问修辞手法？,谁是他的亲人？,什么样的青春最辉煌？,你刚才有看到小米的妹妹吗？,我怎么会忘了老师的谆谆教诲呢？,D
以下哪个句子使用了排比修辞手法？,小池里那美丽的荷花，像亭亭玉立的公主。,兴安岭是多么会打扮自己啊：青松作衫，白为裙，还穿着绣花鞋。,在增强党性上下功夫，在究源穷理中求突破，在渗透结合上见成效。,玉米就像一个披着毯子的胖娃娃，非常的可爱,C
以下哪个句子使用了反问修辞手法？,外婆拿着一个粗麻带出去，她要做什么呢？,牡丹之乡在哪里呢？,今天我去你家发现你家的门没有锁，是不是你忘记了？,他呀，都老头子了，难道还跑得过你吗？,D
以下哪个句子使用了排比修辞手法？,布谷鸟在春天的舞台上，展开嘹亮的歌喉，为森林里的小动物们奏响了一支美妙动听的乐曲。,诚信就是一幅山水画，洗去铅华雕饰，留下清新自然。,如果一滴水代表一个祝福，我送你一个东海，如果一颗星代表一份快乐，我送你一条银河，如果一棵树代表一缕思念，我送你一片森林。,自私是一面镜子，镜子里永远只看得到自己。,C
以下哪个句子使用了拟人修辞手法？,老师是蜡烛，照亮了别人，耗尽了自己。,瓷盘里摆着一个个水灵灵的苹果，像一盏盏小红灯笼似的。,若无每日闻鸡起舞坚持不懈的毅力，那么祖逖又怎能北伐中原而名垂千古，若无长年笔走龙蛇墨染池水的工夫，那么王羲之又怎能挥毫盖世被尊为书圣，若无半生钻研演算草稿盈筐的血汗，那么陈景润又怎能摘取明珠享誉世界。,春雨，你跟随春姑娘来到大地上，大地便生机勃勃地散发出一阵阵花草和泥土的芳香，沁人心脾。,D
以下哪个句子使用了比喻修辞手法？,蜻蜓望着波波河水，迫不及待的落在河里照起了镜子。,他的步伐像矫健的豹子，充满力量和速度，让人望而生畏。,鸟儿将巢安放在繁花嫩叶傍边，高兴起来了，呼朋引伴地卖弄洪亮的嗓子，唱出婉转的曲子，跟轻风流水应和着。,因为有了你，在生命的悬崖前，我不曾退缩过，因为有了你，在坠入深渊时，我始终都有挣扎向上的勇气与力量，因为有了你，珠穆琅玛峰上才会出现我的足迹，因为有了你，在阴暗的道路上行走我都不会感到丝毫的害怕，心头总暖暖的,B
以下哪个句子使用了排比修辞手法？,始终保持思想到位的先进认识，始终坚持群众满意的价值取向，始终弘扬真抓实干的务实作风。,北面的瀑布高十多米，她像个害羞的少女，披着一层银纱，在风中悄悄地哼小调。,开始，水泡很小，摇晃着越升越高，越来越大，最后在水面绽开了，在扑哧一笑中，消失了。,风儿唱着歌，唤醒了沉睡中的大地。,A
以下哪个句子使用了比喻修辞手法？,我渴望春天，因为它是我们冲破冬天的战利品，我渴望春天，因为它是一个充满美好的季节，我渴望春天，因为在那里我们会找到更高的梦想。,内化于心，外化于行，固化于制。,秋天又迈着沉稳的脚步款款地向我们走来。,他的耐心像一只蜗牛，缓慢而坚定地前行。,D
以下哪个句子使用了拟人修辞手法？,您的眼泪是世界上最名贵的珍珠。,感恩每一位父母，用我们的爱回报他们无私的奉献，用我们的心抚平他们心中的痛楚，感恩每一位老师，用我们的情报答他们无量的教诲，用我们的成绩来换取他们欣慰的一笑，感恩给予我们关爱的人，感恩美丽的大自然，,春天来了，她用温柔的大手拂醒了大地。,如果一滴水代表一个祝福，我送你一个东海，如果一颗星代表一份快乐，我送你一条银河，如果一棵树代表一缕思念，我送你一片森林。,C
以下哪个句子使用了比喻修辞手法？,船头飞溅起的浪花，吟唱着欢乐的歌儿。,成功是什么，是一次考试的优异成绩，成功是什么，是给我们自信的泉源，成功是什么，是经过不懈努力最终达到目的的喜悦,雪挂在树上，像一朵朵大白花。,宁静的夜晚，只有那天上的星星在窃窃私语。,C
以下哪个句子使用了反问修辞手法？,你昨天回家后做了什么？,明天早上你们班有考试吗？,当农民，难道就不需要文化知识了吗？,你晚上有空吗？,C
以下哪个句子使用了拟人修辞手法？,我也憧憬另一种生活状态，叫做——拼搏，拼搏就像暴风雨中的海燕，任雷鸣电闪。我也憧憬另一种生活状态，叫做——紧张，紧张就像夜色里赶路的人，任月出月落。我也憧憬另一种生活状态，叫做——奋进，奋进就像海上行驶的帆船，任浪打风吹。,这种血性，源自对信念的坚守，源自对祖国的忠诚，源自对人民的热爱，源自对军人荣誉的珍惜。,天空中的火烧云披上了隐身衣，消失了,满月如瓷，如水中悬浮的明珠，洒下银辉，照亮了黑夜的边界。,C
以下哪个句子使用了比喻修辞手法？,静物是凝固的美，动景则是流转的美，直线是流畅的美，曲线则是婉转的美，喧闹的城市是繁华的美，宁静的乡村则是淡雅的美。,他的笑声宛如一阵清风，带走所有的烦恼和忧愁。,开始，水泡很小，摇晃着越升越高，越来越大，最后在水面绽开了，在扑哧一笑中，消失了。,猫，是月光下的独行者，猫，是阳光间的休闲者，猫，是桠枝上的穿梭者，猫，是池塘边的守望者。,B
以下哪个句子使用了排比修辞手法？,静静的夜晚，一直蚊子开始了夜的独奏,她的善良像一束光芒，照亮了周围的一切，让人们感受到爱和关怀。,春姑娘来到人间，为大地披上绿衣。,政治信仰不变，政治立场不移，政治方向不偏。,D
以下哪个句子使用了拟人修辞手法？,闪着寒光的石头如智者般透着灵气。,成功是什么，是一次考试的优异成绩，成功是什么，是给我们自信的泉源，成功是什么，是经过不懈努力最终达到目的的喜悦,红叶挂满树枝，像燃烧的火焰雨下得很大，像断了线的珠子。,午时的花经过阳光的沐浴，似乎精神了好多，伸了下腰肢，打开了花瓣，迎接一天当中最强的光照，花开了。,D
以下哪个句子使用了排比修辞手法？,向日葵不断地面向太阳公公做运动。,沉默的夜空是一幅黑色的画布，星星如同点缀的银粉，细细撒落在宇宙的画布上。,巨浪伸出双臂把我猛地托起，将我抛向半空。,改革政策坚决贯彻，改革纪律坚决执行，改革规矩坚决遵守，改革举措坚决落实。,D
以下哪个句子使用了排比修辞手法？,风儿轻拂着湖面，如同天使的羽翼掠过水面，留下一串串涟漪，仿佛是大自然的歌谣。,自由就是万里晴空翱翔的海鸥；自由就是蓝天飘动的朵朵白云；自由就是无忧无虑的一只小鸟,当悲伤的水流入稳重的山，水这可怜儿的悲伤也勾起了山的悲伤，于是他们的心一起碎了，水把头埋入地下，山却把心的碎片一块块收好。,路旁的旷野里山坡上，野菊花金黄金黄的，像星星装点蓝天一样，装饰着宽广的田野。,B
以下哪个句子使用了排比修辞手法？,父爱是广阔的大陆，即使在我一事无成的时刻，也会容纳我，把我纳入他温暖的胸膛。,无论山长水远，无论英雄气短，无论道路如何艰难，都无法阻止我们前进的脚步。,秋天迈着沉稳的脚步缓缓地向我们走来，只有凋落的枫叶见证了她的到来。,在晨曦中，大地被蒙上一层金色的轻纱，阳光如同画家的调色板，将大自然的色彩点缀得如诗如画。,B
以下哪个句子使用了比喻修辞手法？,小草从地下探出头来，那是春天的眉毛。,黄昏悄悄的走来，黑暗慢慢的笼罩了村庄。,月明人静的夜里，它们便唱起歌来，织，织，织，织呀。织，织，织，织呀。那歌声真好听。赛过催眠曲。,请保存一份单纯，使你多一份与人的友善，少一些心灵的冷酷麻痹，请保存一份单纯，使你多一份人生的高兴，少一些精神的衰老疲乏，请保存一份单纯，使你多一份奋进的力气，少一些故作高深的看破红尘。,A
以下哪个句子使用了排比修辞手法？,晚上，树叶沙沙低语，像老奶奶唱的催眠曲，使我很快进入香甜的梦乡,这段旅程像一座崎岖的山路，虽然充满困难和挑战，但也带来了美好的收获。,钱能买漂亮的眼镜，但买不来明亮的眼睛。钱能买高档的钢笔，但买不来敏捷的文思。钱能买来芬芳的玫瑰，但买不来真正的爱情,天渐渐的暗了下来，太阳公公拎着文件包缓缓的下了班,C
以下哪个句子使用了拟人修辞手法？,睡莲揉着朦胧的眼睛，仔细的打探着这个世界。,大海是如此的变换末测，像肆虐的猛兽。,谎言是一只心灵的蛀虫，将人的心蛀得面目全非。,他们的信念是那么坚定，穿过茫茫草原，他们的信念是那么坚定，淌过滚滚波涛，他们的信念是那么坚定，跨过皑皑雪山。,A
以下哪个句子使用了比喻修辞手法？,没有风的打扰，水面很平静。,月亮悬挂在夜空中，犹如一颗璀璨的珍珠镶嵌在黑天幕上。,松树一年四季总是那么绿，远远望去，像一位英俊的少年眺望着远方，俯视着大地上日新月异的变化。,政治信仰不变，政治立场不移，政治方向不偏。,B
以下哪个句子使用了排比修辞手法？,抓住敌情研对手，抓住制胜研战法，抓住装备研运用，抓住任务生能力。,心思如风，轻轻吹拂，带走忧伤，带来宁静与清新。,满树的石榴花张开了火红的笑脸,桃花笑红了脸，柳树摇着绿色的长辫子。,A
以下哪个句子使用了拟人修辞手法？,只有启程，才会到达理想和目的地，只有拼搏，才会获得辉煌的成功，只有播种，才会有收获，,它脱下破旧的外衣，又开始新的生活，它贪婪地吮吸着春天那清新、甜润的露珠儿，慢慢地长出逗人喜爱的嫩枝绿叶。,让倾听的过程成为享受，让倾听的过程在我们心中沉浸，让倾听成为人与人之间的纽带。,模模糊糊的看到了远处的柿子树，树是深棕色的，树上挂着一个个红似火焰的小灯笼，象一些些吃饱了的小娃娃，真心爱。,B
以下哪个句子使用了拟人修辞手法？,女人坐在小院子当中，手指上缠绞着柔滑修长的苇眉子，苇眉子又薄又细，在她怀里跳跃着。,月亮如一块银盘悬挂天空，洒下银河般的柔光，点亮了黑夜的寂静。,这个时代像一场狂欢的盛宴，各种新奇的事物和想法层出不穷。,在大是大非面前旗帜鲜明，在大风大浪面前无所畏惧，在各种诱惑考验面前立场坚定。,A
以下哪个句子使用了排比修辞手法？,迎着和煦的春风，青蛙打了个哈欠，伸了个懒腰，走出家门。,山川脉络交错，宛如一条亘古不变的琴弦，自古以来奏响着大自然的和谐之音。,拥有知识，就拥有了无限的光明和希望，拥有知识，就拥有了无限的力量和财富。,她的眼睛像明亮的星星，闪烁着智慧和温柔的光芒。,C
以下哪个句子使用了反问修辞手法？,你喜欢吃苹果吗？,你知道小学几点放学吗？,这个人可信吗？,我怎么会忘记我们的友谊呢？,D
以下哪个句子使用了排比修辞手法？,没有理想，人生就如荒漠，没有生气。,树缝里也漏着一两点路灯光，没精打彩的，是渴睡人的眼。,冬爷爷又来到了大山上。当他看到那灰蒙蒙的山群，心情特别不好。冬爷爷灵机一动，从他的雪口袋中抓了一把雪，撒向大山。,黄山劲松，是我不屈的脊梁，黄埔大桥，是我展开的臂膀，大兴安岭，是我坚硬的肋骨，,D
以下哪个句子使用了排比修辞手法？,我和妹妹一起跑入雨中，欢呼春雨姑娘的到来。,孤山东边的白堤和西南的苏堤，就像两条绿色的绸带，轻柔地飘浮在碧水之上。,给我一次艰难，让我懂得战胜，给我一次挫折，让我饱尝锻炼，给我一次失利，让我学会检讨，给我一次耻辱，让我学会振奋，我多谢每一次带我走向成功的阅历。,冬爷爷又来到了大山上。当他看到那灰蒙蒙的山群，心情特别不好。冬爷爷灵机一动，从他的雪口袋中抓了一把雪，撒向大山。,C
以下哪个句子使用了比喻修辞手法？,落叶随着风翩翩起舞。,我的文具盒，奶黄色的，像一辆小小的公共汽车，既新颖，又别致。,春天来了，她用温柔的大手拂醒了大地。,收音机天天说个不停，令邻居十分讨厌！,B
以下哪个句子使用了反问修辞手法？,能不能给我一些例子？,你放假了出去玩还是在家学习呢？,这么晚了怎么能不回家呢？,你周末去购物吗？,C
以下哪个句子使用了反问修辞手法？,你昨天怎么回的家呢？,明天早上你们班有考试吗？,人怎么能连一点精神都没有呢？,你看见小美去哪了吗？,C
以下哪个句子使用了排比修辞手法？,自私是一面镜子，镜子里永远只看得到自己。,友谊就像是以把熊熊燃烧的火炬，在寒风中给你温暖，给予你前进的力量。,我和妹妹一起跑入雨中，欢呼春雨姑娘的到来。,美是游荡在蓝天上的几缕白云，美是偎依在山冈上的几点残雪，美是跳跃在海面上的一抹斜阳。,D
以下哪个句子使用了反问修辞手法？,他怎么能乱扔垃圾呢？,她走出房间时候，我看见她口袋鼓鼓的，是不是偷偷拿了东西？,我头上的小花搭配我这身衣服合适吗？,为什么今天没有月亮和星星？,A
以下哪个句子使用了比喻修辞手法？,也许你无法拥有深邃的蓝天，但是你可以做飘逸的白云，也许你无法拥有浩瀚的大海，但是你可以做清幽的小溪，也许你无法拥有辽阔的草原，但是你可以做执着的绿洲。只要你满怀信心，你就会感受到生命的意义。,船头飞溅起的浪花，吟唱著欢乐的歌儿。,拥有青春，就拥有了一份潇洒和风流，拥有青春，就拥有了一份灿烂和辉煌。,他的决心像一堵坚实的墙，无论如何都不会倒塌。,D
以下哪个句子使用了排比修辞手法？,阳光透过窗子，射进了屋子，轻轻地对我说：“美好的一天又开始了，好好加油吧。”,那部电影的情节宛如一条盘旋的小溪，引人入胜、令人陶醉。,朋友是一把吉它，尽情地为你弹奏生活的愉悦，朋友是一股春风，轻轻地为你拂去心中的愁云。朋友是一位良师，热情的将你引向阳光地带。,月亮悬挂在夜空中，犹如一颗璀璨的珍珠镶嵌在黑天幕上。,C
以下哪个句子使用了排比修辞手法？,小草从地下探出头来，那是春天的眉毛。,船头飞溅起的浪花，哗啦啦哗啦啦，好像吟唱着欢乐的歌儿。,天上的火烧云真美啊！有的像咆哮的狮子，有的像奔驰的骏马，有的像雪白的羊群。,这是地雷花，你看中间的花蕊像不像小地雷？,C
以下哪个句子使用了拟人修辞手法？,这红色的晚霞像仙女的衣服一样美丽。,一个个红石榴小姑娘绽放出可爱的笑脸，躲在树枝间。,少些表面文章，多些真抓实干，少些虚张声势，多些勤干务实，少些臆测空想，多些实在行动。,越是接近顶峰，越是道路艰险，越是击水中流，越需要理论领航，越是矛盾突出，越要统一思想。,B
以下哪个句子使用了反问修辞手法？,面对两难的境地，我们班的同学需要做什么决定？,看着这些蚂蚁满忙碌碌地搬运东西，他们是不是在搬家？,医生为什么有时候会对病人撒谎？,我们劝阻同学吵架难道不对吗？,D
以下哪个句子使用了比喻修辞手法？,认识上一致，思想上统一，政治上同心，情感上认同，行动上同步。,春天轻轻的走来了，到处充满了温暖。,以忠诚之心对待组织，以热诚之心对待事业，以精诚之心对待同志，以实诚之心对待群众，以虔诚之心对待纲纪。,他的智慧像一座璀璨的灯塔，指引我们走向正确的方向，让我们远离迷茫和困惑。,D
以下哪个句子使用了排比修辞手法？,月亮爬上了树梢，轻轻地进入梦乡，留下了一片宁静的夜空。,梨子像小葫芦似的吊在树上，树叶枯黄了，纷纷落下，像一只只蝴蝶翩翩起舞。,它脱下破旧的外衣，又开始新的生活，它贪婪地吮吸着春天那清新、甜润的露珠儿，慢慢地长出逗人喜爱的嫩枝绿叶。,笃信，知行合一，敬终如始悟初心，笃定，正心明道，修身齐家守初心，笃行，融入时代，不懈奋斗践初心。,D
以下哪个句子使用了拟人修辞手法？,雨滴落在湖面上，如同一颗颗晶莹的珍珠，激起涟漪，唤醒了水中的生命，将整个自然界装点得如诗如画。,“举酒邀明月”是一种孤寂的潇洒，“仰天大笑出门去”是一种自信的潇洒，“我自横刀冲天笑”是一种无畏的潇洒。,风儿轻轻吹过，树叶翩翩起舞，仿佛在向人们展示它们的美丽。,最纯政治忠诚，最好政治训练，最强政治能力，最高政治任务。,C
以下哪个句子使用了排比修辞手法？,月明人静的夜里，它们便唱起歌来，织，织，织，织呀，那歌声真好听。赛过催眠曲。,月季花的叶子都是深绿色的，可奇怪的是，每片叶子的边缘长着软刺，就像一个个小齿轮。,模模糊糊的看到了远处的柿子树，树是深棕色的，树上挂着一个个红似火焰的小灯笼，象一些些吃饱了的小娃娃，真可爱。,“举酒邀明月”是一种孤寂的潇洒，“仰天大笑出门去”是一种自信的潇洒，“我自横刀冲天笑”是一种无畏的潇洒。,D
以下哪个句子使用了反问修辞手法？,你见过小米的妹妹吗？,这是什么颜色？,我们的曾经是那么美好，那么快乐，那么的难以忘记，你难道就不怀念吗？,你有兄弟姐妹吗？,C
以下哪个句子使用了排比修辞手法？,月亮一露面，满天的星星惊散了。,思念是一首诗，让你在普通的日子里读出韵律来。,把准特点规律，把严主体责任，把强抓教能力。,松树一年四季总是那么绿，远远望去，像一位英俊的少年眺望着远方，俯视着大地上日新月异的变化。,C
以下哪个句子使用了排比修辞手法？,那辆车像是一匹奔腾的烈马，带我穿越了无数的风景。,秋天又迈着沉稳的脚步款款地向我们走来。悄无声息地走开,兴安岭是多么会打扮自己啊：青松作衫，白为裙，还穿着绣花鞋。,抓在日常，严在经常，做在平常。,D
以下哪个句子使用了排比修辞手法？,风儿吹过花海，花瓣像舞者纷飞，弥漫了一片芬芳的梦幻。,我们赞美大海的浩瀚，是否会想到江河奔流的坎坷？我们赞美高山的雄伟，是否会想到土石积淀的漫长？我们赞美景色的秀美，是否会想到万物生长的艰辛？,那面镜子像是一个秘密的信使，记录着我的容颜和故事。,骄阳下，小草无精打采地垂着手，低着头，无声地叹息着。,B
以下哪个句子使用了比喻修辞手法？,给我一次艰难，让我懂得战胜，给我一次挫折，让我饱尝锻炼，给我一次失利，让我学会检讨，给我一次耻辱，让我学会振奋，我多谢每一次带我走向成功的阅历。,每一棵绿树上，都有森林的苍翠，每一滴露珠上，都有太阳的光辉，每一朵鲜花上，都有迷人的花香。,父爱是广阔的大陆，即使在我一事无成的时刻，也会容纳我，把我纳入他温暖的胸膛。,它脱下破旧的外衣，又开始新的生活，它贪婪地吮吸着春天那清新、甜润的露珠儿，慢慢地长出逗人喜爱的嫩枝绿叶。,C
以下哪个句子使用了排比修辞手法？,高山不屑一顾的俯视着大地。,以忠诚之心对待组织，以精诚之心对待同志，以虔诚之心对待纲纪。,阳光洒在湖面上，如同万颗金粒跳跃舞动。,夏季将大地烤的像一个大蒸笼。,B
