prompt,entity,status,color,number,location,paint,culture,hand,face,gender,illogical
A Mesoamerican pyramid surrounded by jungle. detailed charcoal sketch.,"('pyramid', 'jungle')",0,0,1,1,1,1,0,0,0,0
a metal treehouse in an oak tree,"('treehouse', 'oak tree')",0,0,1,1,0,0,0,0,0,0
a metallic blue sphere to the left of a brown cardboard box,"('sphere', 'box')",0,1,1,1,0,0,0,0,0,0
a metallic blue sphere to the left of a yellow box made of felt,"('sphere', 'box', 'felt')",0,1,1,1,0,0,0,0,0,0
a milk container in a refrigerator,"('container', 'refrigerator')",0,0,1,1,0,0,0,0,0,0
a milk container on a table,"('container', 'table')",0,0,1,1,0,0,0,0,0,0
a mixed media image with a photograph of a woman with long orange hair over a background that is a sketch of a city skyline,"('image', 'photograph', 'woman', 'hair', 'background', 'sketch', 'skyline', 'city')",0,1,1,1,1,0,0,2,1,0
a monarch butterfly,"('butterfly',)",0,0,1,0,0,0,0,0,0,0
a monarch butterfly hatching from its chrysalis,"('butterfly', 'chrysalis')",1,0,1,1,0,0,0,0,0,0
a moose,"('moose',)",0,0,1,0,0,0,0,0,0,0
a moose by a mountain stream,"('moose', 'stream')",0,0,1,1,0,0,0,0,0,0
a moose standing over a fox,"('moose', 'fox')",1,0,0,0,0,0,0,0,0,0
a mosquito biting a man,"('mosquito', 'man')",1,0,1,0,0,0,0,2,2,0
a motorcycle,"('motorcycle',)",0,0,1,0,0,0,0,0,0,0
a motorcycle hanging on a garage wall,"('motorcycle', 'wall')",1,0,1,1,0,0,0,0,0,0
a motorcycle in front of an rhinoceros,"('motorcycle', 'rhinoceros')",0,0,1,1,0,0,0,0,0,0
a motorcycle parked in an ornate bank lobby,"('motorcycle', 'lobby')",0,0,1,1,0,0,0,0,0,0
"a motorcycle parked in an ornate bank lobby with ""BUZZ"" written on its body","('motorcycle', 'bank', 'body', 'BUZZ', 'lobby')",0,0,1,1,0,0,0,0,0,0
a mountain,"('mountain',)",0,0,1,0,0,0,0,0,0,0
a mountain and its reflection in a lake,"('mountain', 'reflection', 'lake')",0,0,1,1,0,0,0,0,0,0
a mountain stream with salmon leaping out of it,"('stream', 'salmon')",1,0,1,1,0,0,0,0,0,0
a mountain with a cloud hanging over it,"('mountain', 'cloud')",0,0,1,1,0,0,0,0,0,0
a mouse sitting next to a computer mouse,"('mouse', 'computer mouse')",1,0,1,1,0,0,0,0,0,0
A movie poster of mountain and sea,"('poster', 'mountain', 'sea')",0,0,1,0,0,0,0,0,0,0
a musical note,"('musical note',)",0,0,1,0,0,0,0,0,0,0
a nerdy bear wearing glasses and a bowtie,"('bear', 'glasses', 'bowtie')",1,0,1,1,0,0,0,0,0,2
A old phonograph made of cardboard.,"('phonograph', 'cardboard')",0,0,1,0,0,0,0,0,0,0
a old-time car with a large front grille,"('car', 'grille')",0,0,1,0,0,1,0,0,0,0
a painting of a canal in Venice,"('painting', 'canal')",0,0,1,1,0,1,0,0,0,0
a painting of a cute owl on a box,"('painting', 'owl', 'box')",0,0,1,1,0,0,0,0,0,0
a painting of a fox in the style of starry night,"('painting', 'fox')",0,0,1,0,1,0,0,0,0,0
a painting of a house on a mountain,"('painting', 'house', 'mountain')",0,0,1,1,0,0,0,0,0,0
a painting of a man standing on a street corner,"('painting', 'man', 'corner', 'street')",1,0,1,1,0,0,0,2,2,0
a painting of a man standing under a tree,"('painting', 'man', 'tree')",1,0,1,1,0,0,0,2,2,0
a painting of a peaceful lakeside landscape,"('painting', 'landscape')",0,0,1,0,0,0,0,0,0,0
a painting of a phone from the 20s,"('painting', 'phone')",0,0,1,0,0,1,0,0,0,0
a painting of a sport car in the style of Dali,"('painting', 'car')",0,0,1,0,1,0,0,0,0,0
a painting of a sport car in the style of Monet,"('painting', 'car')",0,0,1,0,1,0,0,0,0,0
a painting of a white country home with a wrap-around porch,"('painting', 'home', 'porch')",0,1,1,0,0,0,0,0,0,0
"a painting of an ornate treasure chest with a broad sword propped up against it, glowing in a dark cave","('painting', 'treasure chest', 'sword', 'cave')",1,1,1,1,0,0,0,0,0,0
a painting of black and white,"('painting',)",0,1,1,0,0,0,0,0,0,0
a painting of black and white checkerboard,"('painting', 'checkerboard')",0,1,1,0,0,0,0,0,0,0
a painting of black and white vertical stripes,"('painting', 'stripes')",0,1,1,0,0,0,0,0,0,0
a painting of black and white with a red border,"('painting', 'border')",0,1,1,0,0,0,0,0,0,0
a painting of black and white with a red flower in the right corner,"('painting', 'flower', 'corner')",0,1,1,1,0,0,0,0,0,0
a painting of street in Paris,"('painting', 'street')",0,0,1,1,0,1,0,0,0,0
a painting of ten children on a couch,"('painting', 'children', 'couch')",0,0,1,1,0,0,0,2,0,0
a painting of the food of china,"('painting', 'food')",0,0,1,0,0,1,0,0,0,0
a painting of the mona lisa on a white wall,"('painting', 'mona lisa', 'wall')",0,1,1,1,0,0,0,2,0,0
a painting of the Mona Lisa with a frown,"('painting', 'Mona Lisa', 'frown')",0,0,1,0,0,0,0,2,1,0
a painting of the Mona Lisa with New York City behind her,"('painting', 'Mona Lisa', 'City', 'New York City')",0,0,1,1,0,0,0,2,1,0
a painting of the skyline of New York City,"('painting', 'skyline')",0,0,1,0,0,1,0,0,0,0
a pair of brown suede shoes,"('shoes',)",0,1,1,0,0,0,0,0,0,0
a pair of glasses under a computer monitor,"('glasses', 'monitor')",0,0,1,1,0,0,0,0,0,0
a pair of headphones,"('headphones',)",0,0,1,0,0,0,0,0,0,0
a pair of headphones dangling from a tree branch,"('headphones', 'tree branch')",1,0,1,1,0,0,0,0,0,0
a pair of headphones on a guitar,"('headphones', 'guitar')",0,0,1,1,0,0,0,0,0,0
a pair of headphones on a pumpkin,"('headphones', 'pumpkin')",0,0,1,1,0,0,0,0,0,0
a pair of headphones on a statue of a horse,"('headphones', 'statue', 'horse')",0,0,1,1,0,0,0,0,0,0
a pair of matching socks with cute cats on them,"('cats', 'socks')",0,0,1,1,0,0,0,0,0,0
a pair of shoes on a tennis racquet,"('shoes', 'tennis racquet')",0,0,1,1,0,0,0,0,0,0
a palm tree forest in front of the Kremlin,"('forest', 'Kremlin')",0,0,1,1,0,0,0,0,0,0
a panda,"('panda',)",0,0,1,0,0,0,0,0,0,0
a panda bear playing ping pong using a blue paddle against an ostrich using a red paddle,"('panda', 'ping pong', 'paddle', 'ostrich')",1,1,1,0,0,0,0,0,0,2
a panda bear with aviator glasses on its head,"('panda', 'aviator glasses', 'head')",0,0,1,1,0,0,0,0,0,2
a panda eating bamboo,"('panda', 'bamboo')",1,0,1,0,0,0,0,0,0,0
a parade with cars and people waving,"('parade', 'cars', 'people')",1,0,1,0,0,0,2,2,0,0
a paranoid android freaking out and jumping into the air because it is surrounded by colorful Easter eggs,"('android', 'air', 'Easter eggs')",1,2,1,1,0,0,0,2,0,2
a peaceful lakeside landscape,"('landscape',)",0,0,1,0,0,0,0,0,0,0
a peaceful lakeside landscape with migrating herd of sauropods,"('lakeside landscape', 'sauropods')",1,0,1,0,0,0,0,0,0,0
a pen-and-ink crosshatched drawing of a sphere with dark square on it,"('drawing', 'sphere', 'square')",0,1,1,1,1,0,0,0,0,0
a penguin standing on a sidewalk,"('penguin', 'sidewalk')",0,0,1,1,0,0,0,0,0,0
a penguin that is a car,"('penguin', 'car')",0,0,1,0,0,0,0,0,0,2
A penguin wearing aviator goggles and flying confidently next to a bemused eagle.,"('penguin', 'goggles', 'eagle')",1,0,1,1,0,0,0,0,0,2
a person,"('person',)",0,0,1,0,0,0,0,2,0,0
a person with arms like a tree branch,"('person', 'arms', 'branch')",0,0,1,0,0,0,0,2,0,2
a phone,"('phone',)",0,0,1,0,0,0,0,0,0,0
A photo of a crocodile made of water.,"('photo', 'crocodile', 'water')",0,0,1,0,0,0,0,0,0,2
A photo of a dragonfly made of water.,"('photo', 'dragonfly', 'water')",0,0,1,0,0,0,0,0,0,2
A photo of a four-leaf clover made of water.,"('photo', 'four-leaf clover', 'water')",0,0,1,0,0,0,0,0,0,2
"A photo of a frog reading the newspaper named ""Toaday"" written on it. There is a frog printed on the newspaper too.","('photo', 'frog', 'newspaper', 'Toaday')",1,0,1,1,0,0,0,0,0,2
A photo of a hamburger fighting a hot dog in a boxing ring. The hot dog is tired and up against the ropes.,"('photo', 'hamburger', 'hot dog', 'boxing ring', 'ropes')",1,0,1,1,0,0,0,0,0,2
A photo of a Japanese Porcelain Imari vase on the ground below a wooden chair.,"('photo', 'vase', 'chair', 'ground')",0,0,1,1,0,1,0,0,0,0
A photo of a light bulb in outer space traveling the galaxy with a sailing boat inside the light bulb.,"('photo', 'bulb', 'outer space', 'galaxy', 'boat')",1,0,1,1,0,0,0,0,0,2
A photo of a lotus flower made of water.,"('photo', 'flower', 'water')",0,0,1,0,0,0,0,0,0,2
A photo of a maple leaf made of water.,"('photo', 'leaf', 'water')",0,0,1,0,0,0,0,0,0,2
A photo of a Ming Dynasty vase on a leather topped table.,"('photo', 'vase', 'table')",0,0,1,1,0,1,0,0,0,0
A photo of a palm tree made of water.,"('photo', 'tree', 'water')",0,0,1,0,0,0,0,0,0,2
A photo of a panda made of water.,"('photo', 'panda', 'water')",0,0,1,0,0,0,0,0,0,2
A photo of a Persian Metal Engraving vase sitting to the left of a bunch of orange flowers.,"('photo', 'vase', 'flowers')",1,1,1,1,0,1,0,0,0,0
a photo of a phone from the 20s,"('photo', 'phone')",0,0,1,0,0,1,0,0,0,0
A photo of a teddy bear made of water.,"('photo', 'teddy bear', 'water')",0,0,1,0,0,0,0,0,0,2
A photo of an astronaut riding a horse in the forest.,"('photo', 'astronaut', 'horse', 'forest')",1,0,1,1,0,0,0,0,0,2
A photo of an astronaut riding a horse in the forest. There is a river in front of them with water lilies.,"('photo', 'astronaut', 'horse', 'forest', 'river', 'water lilies')",1,0,1,1,0,0,0,0,0,2
A photo of an Athenian vase with a painting of pandas playing basketball in the style of Egyptian hieroglyphics,"('photo', 'vase', 'pandas', 'basketball', 'painting')",1,0,1,1,1,1,0,0,0,0
A photo of an Athenian vase with a painting of pandas playing soccer in the style of Egyptian hieroglyphics,"('photo', 'vase', 'pandas', 'painting', 'soccer')",1,0,1,1,1,1,0,0,0,0
A photo of an Athenian vase with a painting of pandas playing tennis in the style of Egyptian hieroglyphics,"('photo', 'vase', 'painting', 'pandas', 'tennis')",1,0,1,1,1,1,0,0,0,0
A photo of an Athenian vase with a painting of pangolins playing basketball in the style of Egyptian hieroglyphics,"('photo', 'vase', 'painting', 'pangolins', 'basketball')",1,0,1,1,1,1,0,0,0,0
A photo of an Athenian vase with a painting of pangolins playing soccer in the style of Egyptian hieroglyphics,"('photo', 'vase', 'painting', 'pangolins', 'soccer')",1,0,1,1,1,1,0,0,0,0
A photo of an Athenian vase with a painting of pangolins playing tennis in the style of Egyptian hieroglyphics,"('photo', 'vase', 'painting', 'pangolins', 'tennis')",1,0,1,1,1,1,0,0,0,0
A photo of an Athenian vase with a painting of toucans playing basketball in the style of Egyptian hieroglyphics,"('photo', 'vase', 'painting', 'toucans', 'basketball')",1,0,1,1,1,1,0,0,0,0
A photo of an Athenian vase with a painting of toucans playing soccer in the style of Egyptian hieroglyphics,"('photo', 'vase', 'painting', 'toucans', 'soccer')",1,0,1,1,1,1,0,0,0,0
A photo of an Athenian vase with a painting of toucans playing tennis in the style of Egyptian hieroglyphics,"('photo', 'vase', 'painting', 'toucans', 'tennis')",1,0,1,1,1,1,0,0,0,0
A photo of llama wearing sunglasses standing on the deck of a spaceship with the Earth in the background.,"('photo', 'llama', 'sunglasses', 'deck', 'spaceship', 'Earth')",1,0,1,1,0,0,0,0,0,2
a photo of san francisco's golden gate bridge,"('photo', 'bridge')",0,0,1,0,0,0,0,0,0,0
a photo of the back of a covered wagon. a polar bear is sticking it's head out of the wagon.,"('photo', 'back', 'wagon', 'polar bear', 'head')",1,0,1,1,0,0,0,0,0,0
a photo of the food of china,"('photo', 'food')",0,0,1,0,0,1,0,0,0,0
A photo of the Space Shuttle Endeavor painted yellow and flying over the Earth. The continent of South America is visible.,"('photo', 'Space Shuttle', 'Earth', 'continent')",1,1,1,1,0,0,0,0,0,0
"A photograph in a temple of a wall painting depicting pandas playing tennis, in the style of Egyptian tomb hieroglyphics","('photograph', 'temple', 'wall painting', 'pandas', 'tennis')",1,0,1,1,1,1,0,0,0,0
A photograph of a bird made of wheat bread and an egg.,"('photograph', 'bird', 'bread', 'egg')",0,0,1,0,0,0,0,0,0,0
a photograph of a bird wearing headphones and speaking into a microphone in a recording studio,"('photograph', 'bird', 'headphones', 'microphone', 'recording studio')",1,0,1,1,0,0,0,0,0,2
a photograph of a blue porsche 356 coming around a bend in the road,"('photograph', 'porsche', 'road')",1,1,1,1,0,0,0,0,0,0
a photograph of a bust of homer,"('photograph', 'bust', 'homer')",0,0,1,0,0,0,0,2,0,0
a photograph of a fiddle next to a basketball on a ping pong table,"('photograph', 'fiddle', 'basketball', 'ping pong table')",0,0,1,1,0,0,0,0,0,0
a photograph of a house on a mountain,"('photograph', 'house', 'mountain')",0,0,1,1,0,0,0,0,0,0
a photograph of a knight in shining armor holding a basketball,"('photograph', 'knight', 'armor', 'basketball')",1,1,1,1,0,0,2,2,0,0
"A photograph of a portrait of a statue of a pharaoh wearing steampunk glasses, white t-shirt and leather jacket.","('photograph', 'portrait', 'statue', 'pharaoh', 'glasses', 't-shirt', ' jacket')",0,1,1,1,0,0,0,2,0,0
a photograph of a squirrel holding an arrow above its head and holding a longbow in its left hand,"('photograph', 'squirrel', 'arrow', 'head', 'longbow', 'hand')",1,0,1,1,0,0,0,0,0,2
a photograph of an ostrich wearing a fedora and singing soulfully into a microphone,"('photograph', 'ostrich', 'fedora', 'microphone')",1,0,1,1,0,0,0,0,0,2
"a photograph of sand with a bucket, lots of scattered shells but no sandpipers","('photograph', 'sand', 'bucket', 'shells', 'sandpipers')",0,0,1,0,0,0,0,0,0,0
A photograph of the inside of a subway train. There are frogs sitting on the seats. One of them is reading a newspaper. The window shows the river in the background.,"('photograph', 'subway train', 'frogs', 'seats', 'newspaper', 'window', 'river', 'background')",1,0,1,1,0,0,0,0,0,2
A photograph of the inside of a subway train. There are lobsters sitting on the seats. One of them is reading a newspaper. The window shows the ocean in the background.,"('photograph', 'subway train', 'lobsters', 'seats', 'newspaper', 'window', 'ocean', 'background')",1,0,1,1,0,0,0,0,0,2
A photograph of the inside of a subway train. There are raccoons sitting on the seats. One of them is reading a newspaper. The window shows the city in the background.,"('photograph', 'subway train', 'raccoons', 'seats', 'newspaper', 'window', 'city', 'background')",1,0,1,1,0,0,0,0,0,2
A photograph of the inside of a subway train. There are red pandas sitting on the seats. One of them is reading a newspaper. The window shows the jungle in the background.,"('photograph', 'subway train', 'pandas', 'seats', 'newspaper', 'window', 'jungle', 'background')",1,1,1,1,0,0,0,0,0,2
a photograph of the mona lisa drinking coffee as she has her breakfast. her plate has an omelette and croissant.,"('photograph', 'mona lisa', 'coffee', 'breakfast', 'plate', 'omelette', 'croissant')",1,0,1,1,0,0,2,2,1,0
a piano,"('piano',)",0,0,1,0,0,0,0,0,0,0
a piano tumbling down a hill,"('piano', 'hill')",1,0,1,1,0,0,0,0,0,0
a piano with an open song book above the keys,"('piano', 'book', 'keys')",0,0,1,1,0,0,0,0,0,0
a piano with Christmas lights all over it,"('piano', 'lights')",0,0,1,1,0,0,0,0,0,0
a pickup truck,"('truck',)",0,0,1,0,0,0,0,0,0,0
a pick-up truck,"('truck',)",0,0,1,0,0,0,0,0,0,0
a pickup truck at the beach at sunrise,"('truck', 'beach', 'sunrise')",0,0,1,1,0,0,0,0,0,0
a pickup truck going up a mountain switchback,"('truck', 'mountain')",1,0,1,1,0,0,0,0,0,0
a pickup truck kicking up dust on a back road,"('truck', 'dust', 'road')",1,0,1,1,0,0,0,0,0,0
a pickup truck missing its wheels,"('truck', 'wheels')",0,0,1,0,0,0,0,0,0,0
a pick-up truck rolling over a grassy field,"('truck', 'field')",1,0,1,1,0,0,0,0,0,2
a pickup truck under street lights at night,"('truck', 'street lights')",0,0,1,1,0,0,0,0,0,0
a pickup truck with a horse on its left and two dogs on its right,"('truck', 'horse', 'dogs')",0,0,1,1,0,0,0,0,0,0
A picture of a very tall stop sign,"('picture', 'stop sign')",0,0,1,0,0,0,0,0,0,0
A picture of some food in the plate,"('picture', 'food', 'plate')",0,0,1,1,0,0,0,0,0,0
a pig,"('pig',)",0,0,1,0,0,0,0,0,0,0
a pig face,"('pig face',)",0,0,1,0,0,0,0,0,0,0
a pig face with an eye patch,"('pig face', 'eye patch')",0,0,1,1,0,0,0,0,0,2
a pig in a field,"('pig', 'field')",0,0,1,1,0,0,0,0,0,0
a pig in a forest,"('pig', 'forest')",0,0,1,1,0,0,0,0,0,0
a pile of cash on a stone floor,"('cash', 'stone', 'floor')",0,0,1,1,0,0,0,0,0,0
a pile of cash on a wooden table,"('cash', 'table')",0,0,1,1,0,0,0,0,0,0
a pile of toy cars,"('toy cars',)",0,0,1,0,0,0,0,0,0,0
a pineapple,"('pineapple',)",0,0,1,0,0,0,0,0,0,0
a pineapple surfing on a wave,"('pineapple', 'wave')",1,0,1,1,0,0,0,0,0,2
a pineapple with one beer to its left and two beers on its right,"('pineapple', 'beer')",0,0,1,1,0,0,0,0,0,0
a pirate ship,"('pirate ship',)",0,0,1,0,0,0,0,0,0,0
a pirate ship landing on the moon,"('pirate ship', 'moon')",1,0,1,1,0,0,0,0,0,2
a pitcher of orange juice,"('orange juice',)",0,0,1,0,0,0,0,0,0,0
a pixel art corgi pizza,"('corgi pizza', 'pixel art')",0,0,1,0,0,0,0,0,0,0
a plant,"('plant',)",0,0,1,0,0,0,0,0,0,0
a plant at the bottom of a shallow stream,"('plant', 'stream')",0,0,1,1,0,0,0,0,0,0
a plant growing on the side of a brick wall,"('plant', 'wall')",1,0,1,1,0,0,0,0,0,0
a plant with orange flowers shaped like stars,"('plant', 'flowers', 'stars')",0,1,1,0,0,0,0,0,0,0
a plant with small flowers with purple petals,"('plant', 'flowers', 'petals')",0,1,1,0,0,0,0,0,0,0
a plate,"('plate',)",0,0,1,0,0,0,0,0,0,0
a plate that has no bananas on it. there is a glass without orange juice next to it.,"('plate', 'bananas', 'glass', 'orange juice')",0,0,1,1,0,0,0,0,0,0
a plate with white rice topped by cooked vegetables,"('rice', 'vegetables')",0,1,1,1,0,0,0,0,0,0
A plush monkey fording the Charles River on a log while wearing a Boston Red Sox hat with MIT in the background.,"('monkey', 'the Charles River', 'hat', 'MIT', 'background', 'log')",1,1,1,1,0,0,0,0,0,2
a politician giving a speech at a podium,"('politician', 'speech', 'podium')",1,0,1,1,0,0,0,2,0,0
a politician speaking to a large crowd,"('politician', 'crowd')",1,0,1,0,0,0,0,2,0,0
a politician wearing a soccer jersey and holding a volleyball while giving a speech on a stage,"('politician', 'soccer jersey', 'volleyball', 'speech', 'stage')",1,0,1,1,0,0,2,2,0,0
a pony with a shooting star on its flank,"('pony', 'shooting star')",0,0,1,1,0,0,0,0,0,2
a poodle wearing a baseball cap holding a dictionary in hand and writing bonez on a chalkboard,"('poodle', 'cap', 'dictionary', 'hand', 'chalkboard', 'bonez')",1,0,1,1,0,0,0,0,0,2
"a portrait of a man wearing sunglasses and a business suit, painting in pop art style","('portrait', 'man', 'sunglasses', 'suit', 'painting')",1,0,1,1,1,0,0,2,2,0
A portrait of a metal statue of a pharaoh wearing steampunk glasses and a leather jacket over a white t-shirt that has a drawing of a space shuttle on it.,"('portrait', 'statue', 'pharaoh', 'glasses', 'jacket', 't-shirt', 'space shuttle', 'drawing')",1,1,1,1,0,1,0,2,0,0
a portrait of a postal worker who has forgotten their mailbag,"('portrait', 'postal worker', 'mailbag')",0,0,1,0,0,0,0,2,0,0
"a portrait of a statue of a pharaoh wearing steampunk glasses, white t-shirt and leather jacket. dslr photograph.","('portrait', 'statue', 'pharaoh', 'glasses', 't-shirt', 'jacket', 'photograph')",1,1,1,1,0,0,0,2,0,0
a portrait of a statue of anubis with a crown and wearing a yellow t-shirt that has a space shuttle drawn on it,"('portrait', 'statue', 'crown', 't-shirt', 'space shuttle')",1,1,1,1,0,0,0,2,0,0
"a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket, flying over the city of Mars.","('portrait', 'statue', 'goggles', 't-shirt', 'jacket', 'city', 'Mars', 'Anubis')",1,1,1,1,0,0,0,2,0,2
"a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. A full moon over the city of Los Angeles is in the background at night.","('portrait', 'statue', 'goggles', 't-shirt', 'jacket', 'moon', 'Los Angeles', 'background', 'night', 'Anubis')",1,1,1,1,0,1,0,2,0,0
"a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. The city of Los Angeles is in the background.","('statue', 'Anubis', 'goggles', 't-shirt', 'jacket', 'Los Angeles', 'background')",1,1,1,1,0,1,0,2,0,0
"a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. the skyline of Los Angeles at night can be seen in the background.","('portrait', 'statue', 'goggles', 't-shirt', 'jacket', 'skyline', 'night', 'background', 'Anubis')",1,1,1,1,0,1,0,2,0,0
a portrait of an old man,"('portrait', 'old man')",0,0,1,0,0,0,0,2,2,0
a portrait of young girl,"('portrait', 'young girl')",0,0,1,0,0,0,0,2,1,0
A portrait photo of a kangaroo wearing an orange hoodie and blue sunglasses standing on the grassin front of the Sydney Opera House holding a sign on the chest that says Welcome Friends!,"('photo', 'kangaroo', 'hoodie', 'sunglasses', 'grassin', 'Sydney Opera House', 'sign', 'chest')",1,1,1,1,0,0,0,0,0,2
a power drill,"('power drill',)",0,0,1,0,0,0,0,0,0,0
a power drill on a table,"('drill', 'table')",0,0,1,1,0,0,0,0,0,0
a present,"('present',)",0,0,1,0,0,0,0,0,0,0
a professional high quality emoji of a lovestruck cup of boba,"('emoji', 'boba', 'cup')",0,0,1,0,0,0,0,0,0,0
a professional photo of a sunset behind the grand canyon,"('photo', 'sunset', 'canyon')",0,0,1,1,0,0,0,0,0,0
a prop plane flying low over the Great Wall,"('plane', 'Great Wall')",1,0,1,1,0,0,0,0,0,0
a propaganda poster,"('poster',)",0,0,1,0,0,0,0,0,0,0
a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese,"('poster', 'cat', 'napoleon', 'cheese')",1,0,1,1,0,1,0,0,0,0
a pumpkin,"('pumpkin',)",0,0,1,0,0,0,0,0,0,0
a pumpkin on a man's head,"('pumpkin', 'man', 'head')",0,0,1,1,0,0,0,2,2,0
a pumpkin with a candle in it,"('pumpkin', 'candle')",0,0,1,1,0,0,0,0,0,0
A punk rock frog in a studded leather jacket shouting into a microphone while standing on a boulder,"('frog', 'jacket', 'microphone', 'boulder')",1,0,1,1,0,0,0,0,0,2
A punk rock frog in a studded leather jacket shouting into a microphone while standing on a lily pad,"('frog', 'jacket', 'microphone', 'lily pad')",1,0,1,1,0,0,0,0,0,2
A punk rock frog in a studded leather jacket shouting into a microphone while standing on a stump,"('frog', 'jacket', 'microphone', 'stump')",1,0,1,1,0,0,0,0,0,2
A punk rock platstumppus in a studded leather jacket shouting into a microphone while standing on a stump,"('platstumppus', 'jacket', 'microphone', 'stump')",1,0,1,1,0,0,0,0,0,2
A punk rock platypus in a studded leather jacket shouting into a microphone while standing on a boulder,"('platypus', 'jacket', 'microphone', 'boulder')",1,0,1,1,0,0,0,0,0,2
A punk rock platypus in a studded leather jacket shouting into a microphone while standing on a lily pad,"('platypus', 'jacket', 'microphone', 'lily pad')",1,0,1,1,0,0,0,0,0,2
A punk rock squirrel in a studded leather jacket shouting into a microphone while standing on a boulder,"('squirrel', 'jacket', 'microphone', 'boulder')",1,0,1,1,0,0,0,0,0,2
A punk rock squirrel in a studded leather jacket shouting into a microphone while standing on a lily pad,"('squirrel', 'jacket', 'microphone', 'lily pad')",1,0,1,1,0,0,0,0,0,2
A punk rock squirrel in a studded leather jacket shouting into a microphone while standing on a stump,"('squirrel', 'jacket', 'microphone', 'stump')",1,0,1,1,0,0,0,0,0,2
A punk rock squirrel in a studded leather jacket shouting into a microphone while standing on a stump and holding a beer on dark stage.,"('squirrel', 'jacket', 'microphone', 'stump', 'beer', 'stage')",1,1,1,1,0,0,0,0,0,2
a rabbit,"('rabbit',)",0,0,1,0,0,0,0,0,0,0
"A rabbit checks its watch, and so does a gecko.","('rabbit', 'watch', 'gecko')",1,0,1,0,0,0,0,0,0,2
a rabbit sitting on a turtle's back,"('rabbit', 'turtle')",1,0,1,1,0,0,0,0,0,0
a rabbit wearing a black tophat and monocle,"('rabbit', 'tophat', 'monocle')",0,1,1,1,0,0,0,0,0,2
a rabbit with white fur and black-tipped ears,"('rabbit', 'fur', 'ears')",0,1,1,0,0,0,0,0,0,0
"A raccoon wearing formal clothes, wearing a top hat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Vincent Van Gogh.","('raccoon', 'clothes', 'hat', 'cane', 'garbage bag', 'painting')",1,0,1,1,1,0,0,0,0,0
"A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of abstract cubism.","('raccoon', 'clothes', 'tophat', 'cane', 'garbage bag', 'painting')",1,0,1,1,1,0,0,0,0,0
"A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Egyptian tomp hieroglyphics.","('raccoon', 'clothes', 'tophat', 'cane', 'garbage bag', 'painting')",1,0,1,1,1,0,0,0,0,0
"A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Hokusai.","('raccoon', 'clothes', 'tophat', 'cane', 'garbage bag', 'painting')",1,0,1,1,1,0,0,0,0,0
"A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Madhubani art.","('raccoon', 'clothes', 'tophat', 'cane', 'garbage bag', 'painting')",1,0,1,1,1,0,0,0,0,0
"A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of pixel art.","('raccoon', 'clothes', 'tophat', 'cane', 'garbage bag', 'painting')",1,0,1,1,1,0,0,0,0,0
"A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of pointilism.","('raccoon', 'clothes', 'tophat', 'cane', 'garbage bag', 'painting')",1,0,1,1,1,0,0,0,0,0
"A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Rembrandt.","('raccoon', 'clothes', 'tophat', 'cane', 'garbage bag', 'painting')",1,0,1,1,1,0,0,0,0,0
"A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of traditional Chinese painting.","('raccoon', 'clothes', 'tophat', 'cane', 'garbage bag', 'painting')",1,0,1,1,1,0,0,0,0,0
"A raccoon wearing formal clothes, wearing a tophat and holding a cane. The raccoon is holding a garbage bag. Oil painting in the style of Vincent Van Gogh.","('raccoon', 'clothes', 'tophat', 'cane', 'garbage bag', 'painting')",1,0,1,1,1,0,0,0,0,0
a racoon detective using a microscope while riding in a train,"('racoon', 'microscope', 'train', 'detective')",1,0,1,1,0,0,0,0,0,2
a racoon holding a shiny red apple over its head,"('racoon', 'apple', 'head')",1,1,1,1,0,0,0,0,0,0
a real flamingo reading a large open book. a big stack of books is piled up next to it. dslr photograph.,"('flamingo', 'book', 'photograph')",1,0,1,1,0,0,0,0,0,2
a red block to the left of a blue pyramid,"('block', 'pyramid')",0,1,1,1,0,0,0,0,0,0
a red box,"('box',)",0,1,1,0,0,0,0,0,0,0
a red box next to a blue box,"('box',)",0,1,1,1,0,0,0,0,0,0
a red box to the right of a green sphere,"('box', 'sphere')",0,1,1,1,0,0,0,0,0,0
